sample,rep_1,rep_2,Pass_coverage,hhsubid
106003008,1018.02250610307,1398.73283617028,Pass,106003
106003009,5327.41082834498,1533.51850984851,Pass,106003
106003010,3600.27649399726,3171.23345483731,Pass,106003
106004007,1568.65043641106,2268.37227034077,Pass,106004
106004008,9040.91057753403,4438.98772698391,Pass,106004
106004010,9298.94154432666,3826.92783332776,Pass,106004
106101002,1191.38083135471,11781.9570946059,Pass,106101
106101003,1825.86339163295,6601.96599003444,Pass,106101
106101004,1515.26779921747,2789.6412065679,Pass,106101
106101006,1351.01752332542,1714.99936461225,Pass,106101
106102001,1661.17904558071,3493.10035782363,Pass,106102
106102003,3373.40283583587,12282.3633080293,Pass,106102
106102004,1168.36969534829,3020.71344012306,Pass,106102
106102008,7395.30478547303,4732.1275457312,Pass,106102
106103001,2739.13938400829,8127.45249640504,Pass,106103
106103003,2017.61836605023,5713.34548373073,Pass,106103
106103004,1972.09042570979,6582.51693809986,Pass,106103
106103005,2580.36136842457,8756.20937698559,Pass,106103
106103010,1862.98605491088,2926.65806106411,Pass,106103
106201002,1404.30876500686,11165.8095174397,Pass,106201
106201003,3999.75116209076,16226.8632578671,Pass,106201
106201004,2311.91301876066,5600.4710898572,Pass,106201
106201005,6442.10901916196,3227.12373340468,Pass,106201
106201006,4308.23409022506,4752.88288800455,Pass,106201
106201007,4673.72778650971,7438.44564090559,Pass,106201
106201008,5725.13677557436,2460.30448449988,Pass,106201
106201009,10386.6863859813,3290.90355482728,Pass,106201
106201010,8619.98224258436,6352.47319666923,Pass,106201
106202004,5757.09440524362,1796.01244022339,Pass,106202
106202005,13214.668795773,8471.61950305989,Pass,106202
106202006,10164.5939872254,4137.07668126944,Pass,106202
106202008,8732.91776744808,5837.00869477979,Pass,106202
106202009,4567.41377119353,2918.60963782898,Pass,106202
106202010,5080.75778349998,13374.1637293917,Pass,106202
106301001,4152.02167006655,2421.43493963816,Pass,106301
106401002,8138.20616660536,17609.817376183,Pass,106401
106401003,7821.1147710932,10743.7749724108,Pass,106401
106401004,9962.56091362071,6140.83978196168,Pass,106401
106401005,1602.37260475538,12458.7040765141,Pass,106401
106701003,2788.73915660636,3065.02882653914,Pass,106701
106701004,6364.5967628666,12306.5860950406,Pass,106701
106701005,1236.3673878875,1611.1459385346,Pass,106701
106701006,2996.83630404976,2502.55516168946,Pass,106701
106701009,1976.0943383607,4288.58057719961,Pass,106701
106702001,2430.2162659265,2817.29605725178,Pass,106702
106702004,2107.07012674314,2665.38855633214,Pass,106702
106801002,4934.64819583319,10033.5014547035,Pass,106801
106803001,4265.22586362572,14345.9529813062,Pass,106803
106901002,6619.36210413671,9094.90730027088,Pass,106901
106901004,2701.31344681136,12083.739858877,Pass,106901
106901005,6434.63067250777,2457.87064842992,Pass,106901
106901006,7192.42708089489,5458.9409089389,Pass,106901
106901007,2999.95625856937,1979.22726816707,Pass,106901
106902001,4486.53536434471,4817.99993311708,Pass,106902
106902003,3700.94659398723,4726.8786743805,Pass,106902
106902004,8086.19462930141,9805.42688024613,Pass,106902
